depth,hook_load_avg,wob_avg,rpm_surface_avg,torqueabs_avg,spp_avg,rop_inst,well_bore_code
1167.4541,48.02,-999.25,0,-8,72.08,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,74.07,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,74.07,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,74.07,-3278.3794,NO 15/9-F-1 C
1167.4541,48.23,-999.25,0,-8,78.84,-3278.3794,NO 15/9-F-1 C
1167.4541,47.57,-999.25,0,-4,80.43,-3278.3794,NO 15/9-F-1 C
1167.4541,47.57,-999.25,0,-4,80.43,-3278.3794,NO 15/9-F-1 C
1167.4541,47.57,-999.25,0,-8,80.43,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,82.82,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,82.82,-3278.3794,NO 15/9-F-1 C
1167.4541,48.1,-999.25,0,-9,83.62,-3278.3794,NO 15/9-F-1 C
1167.4541,47.93,-999.25,0,-9,91.57,-3278.3794,NO 15/9-F-1 C
1167.4541,47.93,-999.25,0,-9,91.57,-3278.3794,NO 15/9-F-1 C
1167.4541,47.63,-999.25,0,-8,91.57,-3278.3794,NO 15/9-F-1 C
1167.4541,47.63,-999.25,0,-9,93.96,-3278.3794,NO 15/9-F-1 C
1167.4541,48.53,-999.25,0,-9,99.13,-3278.3794,NO 15/9-F-1 C
1167.4541,48.53,-999.25,0,-9,99.13,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,99.13,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,107.48,-3278.3794,NO 15/9-F-1 C
1167.4541,48.25,-999.25,0,-8,107.48,-3278.3794,NO 15/9-F-1 C
1167.4541,47.97,-999.25,0,-9,107.48,-3278.3794,NO 15/9-F-1 C
1167.4541,47.87,-999.25,0,-9,107.48,-3278.3794,NO 15/9-F-1 C
1167.4541,47.87,-999.25,0,-9,107.48,-3278.3794,NO 15/9-F-1 C
1167.4541,47.87,-999.25,0,-9,117.43,-3278.3794,NO 15/9-F-1 C
1167.4541,48.53,-999.25,0,-9,117.43,-3278.3794,NO 15/9-F-1 C
1167.4541,47.99,-999.25,0,-8,121.01,-3278.3794,NO 15/9-F-1 C
1167.4541,47.99,-999.25,0,-8,121.01,-3278.3794,NO 15/9-F-1 C
1167.4541,48.4,-999.25,0,-13,128.57,-3278.3794,NO 15/9-F-1 C
1167.4541,48.21,-999.25,0,-9,133.34,-3278.3794,NO 15/9-F-1 C
1167.4541,48.21,-999.25,0,-9,133.34,-3278.3794,NO 15/9-F-1 C
1167.4541,48.21,-999.25,0,-9,133.34,-3278.3794,NO 15/9-F-1 C
1167.4541,48.23,-999.25,0,-4,138.51,-3278.3794,NO 15/9-F-1 C
1167.4541,48.23,-999.25,0,-4,138.51,-3278.3794,NO 15/9-F-1 C
1167.4541,48.51,-999.25,0,-4,143.68,-3278.3794,NO 15/9-F-1 C
1167.4541,48.51,-999.25,0,-9,143.68,-3278.3794,NO 15/9-F-1 C
